Power, Bubble, Shaker, Counting, Merge, Quick, M_Quick
    3,   6.09,   4.91,     4.58,  4.58,  5.17,    5.29
    4,   8.07,   6.17,     5.58,  6.0 ,  7.04,    6.54
    5,   9.99,   7.26,     6.58,  7.32,  8.55,    7.87
    6,  12.0 ,   8.29,     7.58,  8.58, 10.43,    8.98
    7,  14.0 ,   9.3 ,     8.58,  9.81, 12.49,   10.23
    8,  15.99,  10.31,     9.58, 11.0 , 14.39,   11.45
    9,  18.0 ,  11.32,    10.58, 12.17, 16.31,   12.64
   10,  20.0 ,  12.32,    11.58, 13.32, 18.37,   13.8
   11,  22.0 ,  13.32,    12.58, 14.46, 20.36,   14.94
   12,  24.0 ,  14.32,    13.58, 15.58, 22.33,   16.08
