Power, Bubble, Shaker, Counting, Merge, Quick, M_Quick
    3,   5.49,   5.75,     4.58,  4.58,  5.58,    5.49
    4,   8.17,   7.69,     5.58,  6.0 ,  6.44,    6.49
    5,   9.94,   9.56,     6.58,  7.32,  7.9 ,    7.86
    6,  11.96,  11.47,     7.58,  8.58,  9.23,    9.38
    7,  14.21,  13.36,     8.58,  9.81, 10.32,   10.64
    8,  16.28,  15.41,     9.58, 11.0 , 11.9 ,   11.69
    9,  18.22,  17.47,    10.58, 12.17, 12.89,   13.01
   10,  20.26,  19.45,    11.58, 13.32, 14.09,   14.1
   11,  22.29,  21.45,    12.58, 14.46, 15.32,   15.31
   12,  24.3 ,  23.45,    13.58, 15.58, 16.35,   16.44
